,imputer_model,img_kind,structural_similarity,peak_signal_noise_ratio
0,gmm_fullconv,inpainted_means_0,0.77 ± 0.07,19.20 ± 2.59
1,gmm_fullconv,inpainted_samples_0,0.68 ± 0.11,16.06 ± 3.73
2,gmm_fullconv,mask,-0.00 ± 0.07,2.30 ± 0.67
3,gmm_fullconv,masked,0.57 ± 0.11,12.29 ± 3.83
4,gmm_fullconv,means_0,0.23 ± 0.11,8.68 ± 1.93
5,gmm_fullconv,original,1.00 ± 0.00,inf ± nan
6,gmm_fullconv,samples_0,0.14 ± 0.13,7.20 ± 2.30
7,gmm_linear_heads,inpainted_means_0,0.84 ± 0.08,21.95 ± 3.47
8,gmm_linear_heads,inpainted_samples_0,0.81 ± 0.09,20.48 ± 3.61
9,gmm_linear_heads,mask,-0.00 ± 0.07,2.30 ± 0.67
10,gmm_linear_heads,masked,0.57 ± 0.11,12.29 ± 3.83
11,gmm_linear_heads,means_0,0.68 ± 0.13,17.26 ± 2.41
12,gmm_linear_heads,original,1.00 ± 0.00,inf ± nan
13,gmm_linear_heads,samples_0,0.61 ± 0.14,15.82 ± 2.39
14,torch_mfa,inpainted_means_0,0.87 ± 0.08,23.16 ± 3.88
15,torch_mfa,inpainted_samples_0,0.79 ± 0.10,18.92 ± 3.38
16,torch_mfa,mask,-0.00 ± 0.07,2.30 ± 0.67
17,torch_mfa,masked,0.57 ± 0.11,12.29 ± 3.83
18,torch_mfa,means_0,0.87 ± 0.08,23.16 ± 3.88
19,torch_mfa,original,1.00 ± 0.00,inf ± nan
20,torch_mfa,samples_0,0.69 ± 0.14,16.23 ± 2.78
