,imputer_model,img_kind,structural_similarity,peak_signal_noise_ratio
0,gmm_linear_heads,inpainted_means_0,0.61 ± 0.12,14.43 ± 2.12
1,gmm_linear_heads,inpainted_samples_0,0.59 ± 0.12,14.13 ± 2.16
2,gmm_linear_heads,mask,-0.02 ± 0.06,1.95 ± 0.24
3,gmm_linear_heads,masked,0.42 ± 0.12,10.84 ± 1.66
4,gmm_linear_heads,means_0,0.53 ± 0.11,13.61 ± 1.94
5,gmm_linear_heads,original,1.00 ± 0.00,inf ± nan
6,gmm_linear_heads,samples_0,0.51 ± 0.11,13.34 ± 1.98
7,torch_mfa,inpainted_means_0,0.62 ± 0.18,13.45 ± 3.67
8,torch_mfa,inpainted_samples_0,0.56 ± 0.17,11.55 ± 3.04
9,torch_mfa,mask,-0.02 ± 0.06,1.95 ± 0.24
10,torch_mfa,masked,0.42 ± 0.12,10.84 ± 1.66
11,torch_mfa,means_0,0.62 ± 0.18,13.45 ± 3.67
12,torch_mfa,original,1.00 ± 0.00,inf ± nan
13,torch_mfa,samples_0,0.51 ± 0.17,11.24 ± 2.89
